ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
69,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0002.jpg,0,p14,cntrl,0,none,0,5402,96.0,81.0,1.0124133528216561,0.49697908062482793,1.0,0.78826791186341749,0.89279613468632935,89.010431078384968,88.362888137498089,38.587562763149478,13.811649035578778,12.083045973594572,76.0,77.239916097059876,87.135886922542085,275.74399999999946,0.98048824757237496,0,0,0,0,0,96.052943354313214,76.664568678267315,1,1
70,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0003.jpg,0,p14,cntrl,0,none,0,8800,97.0,65.0,1.0237997027711503,0.58207038431116265,1.0,0.7407407407407407,0.86585791226420483,117.32905865625989,115.80155439371269,46.010868281309364,17.281124290393745,15.297058540778355,93.594959230946955,95.404763761775044,41.063647779355229,357.37399999999894,0.98110262556441252,0,0,0,0,0,99.299204545454543,68.997727272727275,1,1
71,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0004.jpg,0,p14,cntrl,0,none,0,4920,97.0,66.0,1.0027746037922547,0.36145876225651125,1.0,0.77922077922077926,0.90244656593511507,81.87350401679619,81.541400527584756,38.013155617496423,13.352318481847361,11.704699910719626,75.579097639492886,76.337880594436342,18.59649944911984,261.74399999999946,0.97988448516231808,0,0,0,0,0,98.211178861788625,66.002032520325201,1,1
72,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0005.jpg,0,p14,cntrl,0,none,0,4378,106.0,66.0,1.006110919547037,0.43680800979327472,1.0,0.77886497064579252,0.89986610035873793,78.641504627618431,78.924014089502563,35.355339059327378,12.566343523811092,11.180339887498949,70.710678118654755,70.742339661430492,56.795572359796523,247.25999999999945,0.97887087758524316,0,0,0,0,0,106.27546825034263,66.524211968935589,1,1
73,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0000.jpg,0,p14,cntrl,0,p14,0,4797,167.0,42.0,1.0047847545786652,0.32376366252115751,1.0,0.79870129870129869,0.8985033303158011,80.37239293751351,82.855295545909442,37.0,13.065097621759447,11.401754250991379,76.0,76.043374080687116,38.325637129629236,259.01799999999946,0.9813829787234043,0,0,0,0,0,166.38148843026892,42.77089847821555,1,1
73,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0000.jpg,0,p14,cntrl,0,p14,0,4478,37.0,99.0,1.0018360250917506,0.32490539684774489,1.0,0.78561403508771932,0.90146558531218912,77.558609492374586,77.420927403383644,36.069377593742864,12.874241365986322,11.313708498984761,72.596910921952016,73.350785146755044,-37.079983254772358,249.84599999999949,0.97965434259461825,0,0,0,0,0,37.11433675748102,99.343680214381422,2,2
74,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0001.jpg,0,p14,cntrl,0,p14,0,4610,167.0,31.0,1.0179609454763041,0.40644467227476905,1.0,0.88944626664094151,0.86169317584005234,80.600643150399534,87.458561616344909,36.055512754639892,13.344650347302462,12.083045973594572,70.0,73.642824509644157,40.322475320933876,259.28599999999972,0.98609625668449241,0,0,0,0,0,169.06160520607375,34.929284164859006,1,1
74,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0001.jpg,0,p14,cntrl,0,p14,0,7526,32.0,103.0,1.0301697401667329,0.53228299425362313,1.0,0.84391119084996635,0.85651368566191433,107.07550055097741,112.44554237496477,47.127486671792717,19.942473117279967,19.235384061671343,90.0,90.646530162875749,60.529590561154734,332.29199999999958,0.98379084967320263,0,0,0,0,0,41.23478607494021,106.82859420674994,2,2
75,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0002.jpg,0,p14,cntrl,0,p14,0,4397,31.0,44.0,1.0078622188320345,0.41292355939997555,1.0,0.8275926971579145,0.89379579876134885,78.441510800622083,77.833154889160184,37.336309405188942,13.949984804449874,13.0,68.0,71.441836364948756,-85.173498290499026,248.63599999999957,0.98191156766413579,0,0,0,0,0,32.494655446895614,43.255628837843986,1,1
75,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0002.jpg,0,p14,cntrl,0,p14,0,5760,164.0,102.0,1.0193288128686451,0.40131817445210344,1.0,0.81736909323116225,0.85305146403708865,90.041928775156904,95.015788161757627,39.293765408776999,13.845633593262116,12.165525060596439,80.0,82.472888205112866,54.79789119570917,291.29199999999958,0.98059244126659861,0,0,0,0,0,165.9814236111111,104.61822916666667,2,2
76,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0003.jpg,0,p14,cntrl,0,p14,0,8118,160.0,10.0,1.0699060537912528,0.51513028042215769,1.0,0.90310379352541992,0.47309195726696873,112.73726884396318,124.73972903610141,40.80441152620633,15.687407195017785,14.035668847618199,88.0,96.628453717815049,78.003840947731291,464.36199999999906,0.96230440967283093,0,0,0,0,0,159.77137225917713,47.380266075388029,1,1
76,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0003.jpg,0,p14,cntrl,0,p14,0,9101,0.0,115.0,1.0513617388090188,0.52669031142434897,1.0,0.83772091310751107,0.81997665780211426,118.73672447248055,125.19584657647394,71.0,28.325581818108617,26.40075756488817,96.0,100.9330126112585,82.303241936641399,373.46399999999949,0.99096254355400692,0,0,0,0,0,41.592352488737504,99.372376661905278,2,3
77,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-p14_0004.jpg,0,p14,cntrl,0,p14,0,6467,162.0,39.0,1.0245277281504865,0.52707447186516332,1.0,0.84602302459445322,0.85773457926813901,98.833464405345012,103.60019305001319,41.340053217188775,16.752059939460356,15.652475842498529,83.0,83.990565676818747,-30.21584290654538,307.80799999999942,0.98439759494634294,0,0,0,0,0,160.39755682696767,39.896397092933356,1,1
