ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
29,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0003.jpg,0,hp,benzo,0,none,0,2083,113,87,1.005429295,0.400520203,1,0.785444947,0.878673677,53.80753273,54.20332093,24.35159132,8.700402125,7.615773106,48.83787394,49.30319268,48.84569866,172.598,0.969513614,0,0,0,0,0,112.5256841,86.90830533,1,1
30,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0004.jpg,0,hp,benzo,0,none,0,2694,98,75,1.015075727,0.474610848,1,0.787258913,0.892701048,62.58381422,62.80127387,26.30589288,9.723976592,8.544003745,55.47001962,55.08600674,47.2993552,194.738,0.974674385,0,0,0,0,0,99.27394209,75.65033408,1,1
31,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0005.jpg,0,hp,benzo,0,none,0,2233,120,85,1.018738952,0.522982749,1,0.740384615,0.870262701,57.88183516,57.70615219,23.70653918,8.812223801,7.810249676,48.53586272,49.33519246,19.39600434,179.566,0.96583045,0,0,0,0,0,119.841021,83.6708464,1,1
32,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0000.jpg,0,p1,benzo,0,hp,0,1421,180,63,1.126096136,0.765831395,1,0.717676768,0.678872048,53.66782088,55.31726674,16.4924225,6.275041873,5.830951895,36.2519275,34.51063203,-42.87805116,162.184,0.932108888,0,0,0,0,0,182.0957072,61.69176636,1,1
32,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0000.jpg,0,p1,benzo,0,hp,0,19633,70,74,1.031613306,0.436676588,1,0.891517573,0.814610783,168.5136068,182.2004391,70,27.73206426,26,142,151.5979686,86.73148533,550.33,0.986211227,0,0,0,0,0,65.08276881,76.08424591,2,0
33,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0001.jpg,0,p1,benzo,0,hp,0,2218,174,72,1.073727665,0.496805039,1,0.77498253,0.706678152,58.76862975,65.29931087,21.58703314,7.732438329,7,51.04792421,51.00307079,43.79188435,198.598,0.924359242,0,0,0,0,0,175.4526601,72.71145176,1,3
33,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0001.jpg,0,p1,benzo,0,hp,0,18447,0,66,1.044763585,0.550228815,1,0.907467532,0.81142184,169.7247048,182.7812901,119.5700631,51.74488162,51.07837116,131,141.7224915,-83.28026337,534.496,0.991907514,0,0,0,0,0,60.04250014,75.13508972,2,4
34,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0002.jpg,0,p1,benzo,0,hp,0,30284,103,54,1.092789779,0.664671346,1,0.971887035,0.725722903,232.0833532,251.4000796,95.69221494,36.41207023,33.01514804,151,173.3977971,1.673688125,724.146,0.974592498,0,0,0,0,0,102.6292101,75.12227579,1,1
35,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0003.jpg,0,p1,benzo,0,hp,0,2276,174,80,1.024629735,0.404262264,1,0.795248078,0.787045112,56.82065294,59.46427499,24.08318916,8.716551761,7.810249676,52,51.97061882,-37.68504551,190.63,0.96502014,0,0,0,0,0,174.3690685,78.58479789,1,4
35,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0003.jpg,0,p1,benzo,0,hp,0,25048,74,65,1.098853138,0.538003968,1,0.829843626,0.624295746,202.0185732,231.3266089,73.17103252,25.63856863,23,153,170.2900018,-24.72268826,710.062,0.921933086,0,0,0,0,0,83.67570265,72.7845337,2,5
36,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0004.jpg,0,p1,benzo,0,hp,0,1991,176,79,1.003918807,0.14435874,1,0.7964,0.841229383,50.681152,52.40229003,24.0208243,8.466764386,7.615773106,48.16890328,50.15028816,-14.7986613,172.458,0.966504854,0,0,0,0,0,175.864892,78.81767956,1,1
36,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0004.jpg,0,p1,benzo,0,hp,0,16691,62,85,1.042875562,0.531936383,1,0.869322917,0.797477201,160.3712467,167.8004768,65.55150647,26.61033874,25.63201124,127,135.799857,80.9941102,512.846,0.988159375,0,0,0,0,0,57.55970283,81.81612845,2,0
37,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_p1-hp_0005.jpg,0,p1,benzo,0,hp,0,2230,175,77,1.049499866,0.26245053,1,0.699937225,0.713703468,55.51098133,59.03388857,21,7.765877497,7,51.88354944,53.56506881,35.18756491,198.152,0.914871795,0,0,0,0,0,173.5017937,75.45695067,1,1
